Item,Right_ans,a,b,c
C323,D,0.692,0.665,0.17
C324,B,0.692,0.661,0.17
C325,D,0.691,0.671,0.17
C326,B,0.688,0.677,0.17
C327,A,0.686,0.685,0.17
C328,A,0.685,0.69,0.17
C329,C,0.682,0.696,0.17
C330,B,0.68,0.71,0.17
C331,A,0.679,0.711,0.17
C332,C,0.679,0.716,0.17
C333,C,0.679,0.728,0.17
C334,C,0.678,0.737,0.17
C335,C,0.674,0.735,0.17
C336,B,0.667,0.742,0.17
C337,B,0.667,0.749,0.17
C338,A,0.663,0.744,0.17
C339,D,0.663,0.743,0.17
C340,D,0.658,0.741,0.17
C341,D,0.656,0.764,0.17
C342,C,0.655,0.774,0.17
C343,C,0.654,0.778,0.17
C344,A,0.654,0.772,0.17
C345,A,0.654,0.775,0.17
C346,C,0.654,0.777,0.17
C347,C,0.654,0.782,0.17
C348,A,0.65,0.793,0.17
C349,B,0.647,0.798,0.17
C350,C,0.647,0.797,0.17
C351,B,0.645,0.809,0.17
C352,A,0.642,0.815,0.17
C353,D,0.641,0.817,0.17
C354,D,0.639,0.827,0.17
C355,C,0.638,0.837,0.17
C356,C,0.637,0.84,0.17
C357,D,0.636,0.835,0.17
C358,D,0.635,0.838,0.17
C359,D,0.633,0.839,0.17
C360,C,0.633,0.845,0.17
C361,C,0.629,0.854,0.17
C362,D,0.627,0.869,0.17
C363,A,0.625,0.873,0.17
C364,D,0.625,0.878,0.17
C365,A,0.624,0.889,0.17
C366,A,0.623,0.896,0.17
C367,B,0.618,0.901,0.17
C368,C,0.617,0.909,0.17
C369,C,0.616,0.911,0.17
C370,D,0.615,0.919,0.17
C371,D,0.613,0.937,0.17
C372,A,0.603,0.932,0.17
C373,A,0.603,0.948,0.17
C374,B,0.603,0.947,0.17
C375,B,0.602,0.962,0.17
C376,A,0.601,0.978,0.17
C377,B,0.598,0.983,0.17
C378,A,0.597,0.988,0.17
C379,A,0.595,0.996,0.17
C380,C,0.593,0.997,0.17
C381,A,0.592,1.001,0.17
C382,D,0.59,1.003,0.17
C383,A,0.587,1.019,0.17
C384,B,0.587,1.027,0.17
C385,D,0.586,1.025,0.17
C386,D,0.585,1.025,0.17
C387,D,0.581,1.021,0.17
C388,A,0.577,1.04,0.17
C389,A,0.575,1.033,0.17
C390,D,0.575,1.05,0.17
C391,D,0.573,1.054,0.17
C392,C,0.572,1.08,0.17
C393,B,0.571,1.082,0.17
C394,B,0.569,1.083,0.17
C395,B,0.569,1.105,0.17
C396,A,0.565,1.106,0.17
C397,A,0.564,1.129,0.17
C398,C,0.562,1.13,0.17
C399,C,0.561,1.131,0.17
C400,B,0.558,1.139,0.17
C401,C,0.558,1.143,0.17
C402,C,0.557,1.142,0.17
C403,B,0.552,1.149,0.17
C404,D,0.55,1.16,0.17
C405,B,0.55,1.151,0.17
C406,D,0.547,1.163,0.17
C407,C,0.547,1.173,0.17
C408,B,0.541,1.182,0.17
C409,A,0.536,1.189,0.17
C410,B,0.536,1.2,0.17
C411,A,0.535,1.197,0.17
C412,B,0.531,1.201,0.17
C413,B,0.529,1.206,0.17
C414,A,0.528,1.214,0.17
C415,B,0.528,1.236,0.17
C416,B,0.526,1.235,0.17
C417,A,0.524,1.242,0.17
C418,A,0.519,1.251,0.17
C419,D,0.519,1.251,0.17
C420,D,0.514,1.264,0.17
C421,B,0.512,1.283,0.17
C422,B,0.509,1.283,0.17
C423,D,0.509,1.292,0.17
C424,B,0.509,1.305,0.17
C425,A,0.506,1.31,0.17
C426,D,0.503,1.315,0.17
C427,A,0.502,1.343,0.17
C428,C,0.5,1.348,0.17
C429,D,0.499,1.372,0.17
C430,C,0.499,1.377,0.17
C431,A,0.496,1.413,0.17
C432,A,0.496,1.421,0.17
C433,D,0.494,1.44,0.17
C434,B,0.492,1.449,0.17
C435,B,0.49,1.462,0.17
C436,C,0.489,1.482,0.17
C437,A,0.489,1.484,0.17
C438,C,0.487,1.498,0.17
C439,B,0.482,1.512,0.17
C440,D,0.482,1.515,0.17
C441,D,0.477,1.525,0.17
C442,C,0.473,1.522,0.17
C443,C,0.471,1.531,0.17
C444,B,0.471,1.538,0.17
C445,A,0.469,1.539,0.17
C446,B,0.467,1.569,0.17
C447,C,0.467,1.586,0.17
C448,D,0.464,1.606,0.17
C449,B,0.463,1.619,0.17
C450,A,0.462,1.636,0.17
C451,C,0.461,1.65,0.17
C452,A,0.458,1.676,0.17
C453,A,0.454,1.68,0.17
C454,D,0.453,1.679,0.17
C455,A,0.45,1.697,0.17
C456,D,0.449,1.706,0.17
C457,A,0.449,1.715,0.17
C458,C,0.448,1.77,0.17
C459,D,0.446,1.789,0.17
C460,A,0.444,1.8,0.17
C461,B,0.441,1.793,0.17
C462,C,0.439,1.816,0.17
C463,D,0.437,1.816,0.17
C464,A,0.437,1.825,0.17
C465,B,0.431,1.839,0.17
C466,C,0.43,1.839,0.17
C467,C,0.428,1.845,0.17
C468,A,0.428,1.868,0.17
C469,A,0.427,1.865,0.17
C470,A,0.426,1.9,0.17
C471,B,0.424,1.893,0.17
C472,D,0.423,1.907,0.17
C473,C,0.42,1.976,0.17
C474,C,0.412,2.005,0.17
C475,B,0.412,2.019,0.17
C476,B,0.407,2.014,0.17
C477,B,0.401,2.058,0.17
C478,C,0.4,2.067,0.17
C479,B,0.397,2.065,0.17
C480,B,0.392,2.134,0.17
C481,D,0.388,2.151,0.17
C482,A,0.386,2.156,0.17
C483,C,0.385,2.152,0.17
C484,D,0.38,2.17,0.17
C485,A,0.374,2.195,0.17
C486,A,0.368,2.218,0.17
C487,C,0.367,2.395,0.17
C488,B,0.365,2.438,0.17
C489,B,0.361,2.475,0.17
C490,C,0.358,2.511,0.17
C491,D,0.355,2.534,0.17
C492,D,0.343,2.558,0.17
C493,D,0.338,2.561,0.17
C494,D,0.336,2.596,0.17
C495,D,0.333,2.683,0.17
C496,A,0.331,2.721,0.17
C497,A,0.327,2.798,0.17
C498,A,0.325,3.111,0.17
C499,C,0.311,3.174,0.17
C500,B,0.307,3.248,0.17
